s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"First_Ceiling_Gas_Temperature","Fourth_Ceiling_Gas_Temperature","Second_Ceiling_Gas_Temperature","Third_Ceiling_Gas_Temperature","First_Ceiling_Gas_Temperature1","Fourth_Ceiling_Gas_Temperature1","Second_Ceiling_Gas_Temperature1","Third_Ceiling_Gas_Temperature1","0.5_TREE1_TEMPERATURE_THERMOCOUPLE","0.5_TREE1_THERMOCOUPLE","0.7_TREE1_TEMPERATURE_THERMOCOUPLE","0.7_TREE1_THERMOCOUPLE","0.9_TREE1_TEMPERATURE_THERMOCOUPLE","0.9_TREE1_THERMOCOUPLE","1.2_TREE1_TEMPERATURE_THERMOCOUPLE","1.2_TREE1_THERMOCOUPLE","1.5_TREE1_TEMPERATURE_THERMOCOUPLE","1.5_TREE1_THERMOCOUPLE","0.5_TREE2_TEMPERATURE_THERMOCOUPLE","0.5_TREE2_THERMOCOUPLE","0.7_TREE2_TEMPERATURE_THERMOCOUPLE","0.7_TREE2_THERMOCOUPLE","0.9_TREE2_TEMPERATURE_THERMOCOUPLE","0.9_TREE2_THERMOCOUPLE","1.2_TREE2_TEMPERATURE_THERMOCOUPLE","1.2_TREE2_THERMOCOUPLE","1.5_TREE2_TEMPERATURE_THERMOCOUPLE","1.5_TREE2_THERMOCOUPLE"
 7.6017733E+000, 2.9311091E+001, 2.7502950E+001, 2.9650683E+001, 2.9480106E+001, 2.8157399E+001, 2.7165849E+001, 2.8012419E+001, 2.7841558E+001, 2.7222397E+001, 2.7586515E+001, 2.7149049E+001, 2.7398384E+001, 2.7123490E+001, 2.7331334E+001, 2.7082515E+001, 2.7214203E+001, 2.7057339E+001, 2.7150555E+001, 2.7051100E+001, 2.7096353E+001, 2.7043226E+001, 2.7101749E+001, 2.7028449E+001, 2.7065276E+001, 2.7026514E+001, 2.7053446E+001, 2.7027658E+001, 2.7050819E+001
 8.0011629E+000, 2.9216722E+001, 2.8264396E+001, 2.9586994E+001, 3.0165605E+001, 2.8149957E+001, 2.7416703E+001, 2.8022322E+001, 2.8100869E+001, 2.7232526E+001, 2.7614257E+001, 2.7157262E+001, 2.7417304E+001, 2.7129334E+001, 2.7347223E+001, 2.7088426E+001, 2.7225514E+001, 2.7062486E+001, 2.7159561E+001, 2.7054748E+001, 2.7101738E+001, 2.7045773E+001, 2.7107081E+001, 2.7030623E+001, 2.7068976E+001, 2.7029118E+001, 2.7056921E+001, 2.7164086E+001, 2.7056671E+001
 8.4028685E+000, 2.9148657E+001, 2.8919640E+001, 2.9563054E+001, 3.0744494E+001, 2.8150229E+001, 2.7639380E+001, 2.8042277E+001, 2.8334431E+001, 2.7242595E+001, 2.7642147E+001, 2.7165446E+001, 2.7436614E+001, 2.7134736E+001, 2.7363510E+001, 2.7094108E+001, 2.7237388E+001, 2.7067397E+001, 2.7169163E+001, 2.7058320E+001, 2.7107156E+001, 2.7048248E+001, 2.7112240E+001, 2.7032891E+001, 2.7072748E+001, 2.7032200E+001, 2.7060590E+001, 2.8688303E+001, 2.7102115E+001
 8.8006232E+000, 2.9522559E+001, 2.9515586E+001, 2.9603956E+001, 3.1111768E+001, 2.8287451E+001, 2.7846002E+001, 2.8080858E+001, 2.8504701E+001, 2.7252506E+001, 2.7668911E+001, 2.7173483E+001, 2.7455377E+001, 2.7139807E+001, 2.7378874E+001, 2.7099111E+001, 2.7248256E+001, 2.7071213E+001, 2.7177964E+001, 2.7061746E+001, 2.7112431E+001, 2.7050691E+001, 2.7117482E+001, 2.7035173E+001, 2.7076535E+001, 2.7035888E+001, 2.7064192E+001, 3.1859941E+001, 2.7280380E+001
 9.2006524E+000, 2.9650337E+001, 3.0072041E+001, 2.9699544E+001, 3.1214166E+001, 2.8358732E+001, 2.8040029E+001, 2.8136686E+001, 2.8591415E+001, 2.7263300E+001, 2.7696327E+001, 2.7182013E+001, 2.7475124E+001, 2.7145858E+001, 2.7395117E+001, 2.7104464E+001, 2.7259941E+001, 2.7075263E+001, 2.7187037E+001, 2.7065105E+001, 2.7117844E+001, 2.7053099E+001, 2.7122680E+001, 2.7037573E+001, 2.7080487E+001, 2.7041129E+001, 2.7068168E+001, 3.3340451E+001, 2.7552002E+001
 9.6031372E+000, 2.9535247E+001, 3.0548345E+001, 2.9780022E+001, 3.1171429E+001, 2.8352551E+001, 2.8206189E+001, 2.8189775E+001, 2.8626205E+001, 2.7274418E+001, 2.7723561E+001, 2.7190351E+001, 2.7494701E+001, 2.7152417E+001, 2.7411508E+001, 2.7109976E+001, 2.7271697E+001, 2.7079889E+001, 2.7196158E+001, 2.7068432E+001, 2.7123587E+001, 2.7055637E+001, 2.7128256E+001, 2.7040127E+001, 2.7084614E+001, 2.7049364E+001, 2.7072514E+001, 3.3345614E+001, 2.7870924E+001
 1.0004259E+001, 2.9427723E+001, 3.0950769E+001, 2.9854458E+001, 3.1093050E+001, 2.8342782E+001, 2.8351823E+001, 2.8240269E+001, 2.8643804E+001, 2.7285721E+001, 2.7750545E+001, 2.7198506E+001, 2.7514211E+001, 2.7158993E+001, 2.7427432E+001, 2.7115638E+001, 2.7283656E+001, 2.7084672E+001, 2.7205511E+001, 2.7071577E+001, 2.7129041E+001, 2.7058238E+001, 2.7133673E+001, 2.7042894E+001, 2.7088807E+001, 2.7060265E+001, 2.7077272E+001, 3.2447259E+001, 2.8151381E+001
 1.0406312E+001, 2.9344138E+001, 3.1308214E+001, 2.9933619E+001, 3.1045682E+001, 2.8337786E+001, 2.8492869E+001, 2.8290542E+001, 2.8666364E+001, 2.7297433E+001, 2.7777836E+001, 2.7206397E+001, 2.7533487E+001, 2.7165681E+001, 2.7443570E+001, 2.7121017E+001, 2.7295351E+001, 2.7089423E+001, 2.7214878E+001, 2.7074765E+001, 2.7134761E+001, 2.7061029E+001, 2.7139300E+001, 2.7045836E+001, 2.7093150E+001, 2.7069801E+001, 2.7082481E+001, 3.1750844E+001, 2.8380590E+001
 1.0804902E+001, 2.9294790E+001, 3.1632977E+001, 2.9990735E+001, 3.1137041E+001, 2.8344662E+001, 2.8630478E+001, 2.8335022E+001, 2.8729681E+001, 2.7309396E+001, 2.7804380E+001, 2.7214367E+001, 2.7552825E+001, 2.7172738E+001, 2.7459529E+001, 2.7126725E+001, 2.7307648E+001, 2.7094428E+001, 2.7224438E+001, 2.7077791E+001, 2.7140144E+001, 2.7063727E+001, 2.7144607E+001, 2.7048694E+001, 2.7097566E+001, 2.7073265E+001, 2.7087926E+001, 3.0913461E+001, 2.8549310E+001
 1.1202887E+001, 2.9242296E+001, 3.1983874E+001, 3.0027439E+001, 3.1504671E+001, 2.8349111E+001, 2.8779453E+001, 2.8374254E+001, 2.8876663E+001, 2.7320348E+001, 2.7827198E+001, 2.7221117E+001, 2.7569321E+001, 2.7179438E+001, 2.7473281E+001, 2.7132169E+001, 2.7318042E+001, 2.7099552E+001, 2.7232724E+001, 2.7080620E+001, 2.7145141E+001, 2.7066121E+001, 2.7149546E+001, 2.7051161E+001, 2.7101743E+001, 2.7071016E+001, 2.7092886E+001, 3.0013458E+001, 2.8647390E+001
 1.1602766E+001, 2.9178682E+001, 3.2391292E+001, 3.0072337E+001, 3.2126359E+001, 2.8346771E+001, 2.8949721E+001, 2.8416826E+001, 2.9102832E+001, 2.7331460E+001, 2.7849670E+001, 2.7227700E+001, 2.7585715E+001, 2.7186567E+001, 2.7487169E+001, 2.7138016E+001, 2.7328745E+001, 2.7106116E+001, 2.7241347E+001, 2.7083533E+001, 2.7150163E+001, 2.7068350E+001, 2.7154406E+001, 2.7053498E+001, 2.7105874E+001, 2.7067907E+001, 2.7097621E+001, 2.9323523E+001, 2.8695545E+001
 1.2000654E+001, 2.9117127E+001, 3.2832085E+001, 3.0137641E+001, 3.2866613E+001, 2.8344123E+001, 2.9137838E+001, 2.8465258E+001, 2.9369791E+001, 2.7343492E+001, 2.7873861E+001, 2.7234517E+001, 2.7603395E+001, 2.7194592E+001, 2.7501762E+001, 2.7143696E+001, 2.7339568E+001, 2.7114819E+001, 2.7250150E+001, 2.7086581E+001, 2.7155133E+001, 2.7070665E+001, 2.7159423E+001, 2.7055906E+001, 2.7110189E+001, 2.7066406E+001, 2.7102090E+001, 2.8979016E+001, 2.8717469E+001
 1.2401274E+001, 2.9079707E+001, 3.3277772E+001, 3.0271779E+001, 3.3632523E+001, 2.8348136E+001, 2.9333736E+001, 2.8534211E+001, 2.9651678E+001, 2.7355910E+001, 2.7898802E+001, 2.7241030E+001, 2.7621294E+001, 2.7203673E+001, 2.7516921E+001, 2.7148869E+001, 2.7350504E+001, 2.7126778E+001, 2.7259352E+001, 2.7089885E+001, 2.7160396E+001, 2.7073194E+001, 2.7164579E+001, 2.7058381E+001, 2.7114587E+001, 2.7066678E+001, 2.7106497E+001, 2.8934545E+001, 2.8729767E+001
 1.2800802E+001, 2.9062299E+001, 3.3711255E+001, 3.0577534E+001, 3.4361954E+001, 2.8357804E+001, 2.9528768E+001, 2.8657516E+001, 2.9932437E+001, 2.7367168E+001, 2.7920966E+001, 2.7246496E+001, 2.7636446E+001, 2.7212997E+001, 2.7530216E+001, 2.7153076E+001, 2.7360707E+001, 2.7146740E+001, 2.7268634E+001, 2.7093212E+001, 2.7165327E+001, 2.7075697E+001, 2.7169241E+001, 2.7060808E+001, 2.7118663E+001, 2.7067975E+001, 2.7110788E+001, 2.9083636E+001, 2.8744020E+001
 1.3201348E+001, 2.9057086E+001, 3.4122427E+001, 3.1185596E+001, 3.5004075E+001, 2.8370212E+001, 2.9718895E+001, 2.8880372E+001, 3.0198050E+001, 2.7378671E+001, 2.7944416E+001, 2.7253171E+001, 2.7652741E+001, 2.7223128E+001, 2.7544319E+001, 2.7156530E+001, 2.7370535E+001, 2.7192737E+001, 2.7279060E+001, 2.7096649E+001, 2.7170279E+001, 2.7078421E+001, 2.7174107E+001, 2.7063429E+001, 2.7122966E+001, 2.7070291E+001, 2.7115056E+001, 2.9303472E+001, 2.8766309E+001
 1.3602295E+001, 2.9139517E+001, 3.4511620E+001, 3.2038890E+001, 3.5543137E+001, 2.8410086E+001, 2.9905306E+001, 2.9189854E+001, 3.0440703E+001, 2.7390147E+001, 2.7967484E+001, 2.7261584E+001, 2.7668902E+001, 2.7234022E+001, 2.7558455E+001, 2.7160704E+001, 2.7380281E+001, 2.7315729E+001, 2.7293478E+001, 2.7100145E+001, 2.7175178E+001, 2.7081233E+001, 2.7178887E+001, 2.7066140E+001, 2.7127264E+001, 2.7073592E+001, 2.7119408E+001, 2.9428735E+001, 2.8796151E+001
 1.4004053E+001, 2.9528142E+001, 3.4915841E+001, 3.2980400E+001, 3.6037927E+001, 2.8549187E+001, 3.0099220E+001, 2.9538038E+001, 3.0673421E+001, 2.7400366E+001, 2.7988284E+001, 2.7270920E+001, 2.7682684E+001, 2.7245747E+001, 2.7571113E+001, 2.7167446E+001, 2.7389471E+001, 2.7607661E+001, 2.7317758E+001, 2.7103622E+001, 2.7180005E+001, 2.7083937E+001, 2.7183275E+001, 2.7068804E+001, 2.7131247E+001, 2.7077706E+001, 2.7123904E+001, 2.9394512E+001, 2.8826966E+001
 1.4405099E+001, 3.0102032E+001, 3.5370397E+001, 3.3905904E+001, 3.6570577E+001, 2.8749524E+001, 3.0314337E+001, 2.9890850E+001, 3.0920568E+001, 2.7409468E+001, 2.8008364E+001, 2.7280896E+001, 2.7696518E+001, 2.7256849E+001, 2.7583552E+001, 2.7175482E+001, 2.7398014E+001, 2.8267748E+001, 2.7364631E+001, 2.7106903E+001, 2.7184596E+001, 2.7086562E+001, 2.7187613E+001, 2.7071520E+001, 2.7135241E+001, 2.7082538E+001, 2.7128328E+001, 2.9279269E+001, 2.8853071E+001
 1.4801095E+001, 3.0932986E+001, 3.5846630E+001, 3.4755546E+001, 3.7160031E+001, 2.9038067E+001, 3.0547971E+001, 3.0230487E+001, 3.1189887E+001, 2.7419649E+001, 2.8029426E+001, 2.7292785E+001, 2.7711042E+001, 2.7269645E+001, 2.7596956E+001, 2.7187516E+001, 2.7407350E+001, 2.9451350E+001, 2.7456131E+001, 2.7110110E+001, 2.7189440E+001, 2.7089190E+001, 2.7192099E+001, 2.7074312E+001, 2.7139236E+001, 2.7088418E+001, 2.7133015E+001, 2.9106494E+001, 2.8871235E+001
 1.5200036E+001, 3.2020944E+001, 3.6317449E+001, 3.5501541E+001, 3.7783182E+001, 2.9423896E+001, 3.0786514E+001, 3.0547585E+001, 3.1473936E+001, 2.7429231E+001, 2.8047358E+001, 2.7305493E+001, 2.7724208E+001, 2.7283767E+001, 2.7609222E+001, 2.7204548E+001, 2.7417215E+001, 3.1075058E+001, 2.7612369E+001, 2.7112858E+001, 2.7193719E+001, 2.7091570E+001, 2.7195979E+001, 2.7077155E+001, 2.7143012E+001, 2.7096006E+001, 2.7137862E+001, 2.9180857E+001, 2.8884220E+001
 1.5603917E+001, 3.3141036E+001, 3.6787655E+001, 3.6170088E+001, 3.8394386E+001, 2.9839603E+001, 3.1025443E+001, 3.0850212E+001, 3.1756942E+001, 2.7439161E+001, 2.8066536E+001, 2.7319146E+001, 2.7737802E+001, 2.7298089E+001, 2.7621893E+001, 2.7225327E+001, 2.7427057E+001, 3.2741931E+001, 2.7849540E+001, 2.7115297E+001, 2.7198203E+001, 2.7094157E+001, 2.7200228E+001, 2.7080197E+001, 2.7146938E+001, 2.7106908E+001, 2.7142913E+001, 3.0948114E+001, 2.8936211E+001
 1.6005633E+001, 3.4071054E+001, 3.7282646E+001, 3.6779290E+001, 3.8954758E+001, 3.0204091E+001, 3.1269192E+001, 3.1143390E+001, 3.2027377E+001, 2.7448613E+001, 2.8085445E+001, 2.7333969E+001, 2.7752369E+001, 2.7311778E+001, 2.7635315E+001, 2.7251055E+001, 2.7438618E+001, 3.3473737E+001, 2.8141881E+001, 2.7117256E+001, 2.7202544E+001, 2.7096871E+001, 2.7204363E+001, 2.7083448E+001, 2.7150957E+001, 2.7124023E+001, 2.7148668E+001, 3.5937047E+001, 2.9187337E+001
